instance_id,agent_a,agent_b,action_levenshtein,n_steps_diff,n_edits_diff,n_searches_diff,n_opens_diff,n_runs_diff,n_nav_diff,edit_retries_diff,edit_retry_rate_diff,n_files_opened_diff,n_files_edited_diff,n_steps_absdiff,n_edits_absdiff,n_searches_absdiff,n_opens_absdiff,n_runs_absdiff,n_nav_absdiff,edit_retries_absdiff,edit_retry_rate_absdiff,n_files_opened_absdiff,n_files_edited_absdiff,action_seq_a,action_seq_b
astropy__astropy-14995,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.6388888888888888,34.0,11.0,-1.0,4.0,6.0,4.0,5.0,0.38461538461538464,2.0,3.0,34.0,11.0,1.0,4.0,6.0,4.0,5.0,0.38461538461538464,2.0,3.0,CREATE EDIT RUN OTHER RUN EDIT OTHER RUN OTHER OPEN SEARCH OTHER SEARCH OPEN SEARCH NAV SEARCH NAV EDIT OTHER EDIT OPEN RUN EDIT OPEN EDIT RUN OTHER OPEN NAV EDIT OTHER OPEN NAV EDIT SUBMIT,CREATE EDIT RUN OTHER OPEN SEARCH OPEN SEARCH NAV EDIT RUN OTHER SUBMIT
django__django-10914,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.36363636363636365,11.0,2.0,-1.0,1.0,0.0,0.0,2.0,0.5,1.0,0.0,11.0,2.0,1.0,1.0,0.0,0.0,2.0,0.5,1.0,0.0,OTHER OPEN SEARCH OTHER OPEN SEARCH EDIT OTHER OPEN EDIT SUBMIT,SEARCH OPEN SEARCH EDIT SEARCH OPEN EDIT SUBMIT
django__django-11039,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.8846153846153846,23.0,-6.0,-1.0,2.0,20.0,0.0,-24.0,-0.9230769230769231,0.0,1.0,23.0,6.0,1.0,2.0,20.0,0.0,24.0,0.9230769230769231,0.0,1.0,OTHER OPEN EDIT OTHER OPEN NAV EDIT RUN OTHER RUN CREATE EDIT RUN EDIT RUN OTHER RUN CREATE EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN OPEN CREATE EDIT SUBMIT,SEARCH OPEN EDIT OPEN NAV EDIT OTHER
django__django-11099,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.4,-4.0,-3.0,1.0,0.0,-1.0,0.0,0.0,0.2142857142857143,0.0,0.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.2142857142857143,0.0,0.0,OTHER OPEN EDIT SEARCH RUN OTHER RUN CREATE EDIT RUN SUBMIT,OTHER OPEN EDIT CREATE EDIT RUN EDIT RUN CREATE EDIT RUN CREATE EDIT RUN SUBMIT
django__django-11133,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.38461538461538464,0.0,0.0,-2.0,1.0,0.0,2.0,-1.0,-0.25,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.25,1.0,0.0,CREATE EDIT RUN EDIT RUN OPEN NAV EDIT NAV EDIT OPEN RUN SUBMIT,CREATE EDIT RUN EDIT RUN SEARCH OPEN SEARCH NAV EDIT RUN OTHER SUBMIT
django__django-12286,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.7,18.0,9.0,-1.0,2.0,3.0,0.0,6.0,0.5454545454545454,2.0,-1.0,18.0,9.0,1.0,2.0,3.0,0.0,6.0,0.5454545454545454,2.0,1.0,OTHER OPEN EDIT OTHER EDIT CREATE OTHER OPEN EDIT RUN OTHER RUN OTHER RUN EDIT RUN EDIT RUN OPEN SUBMIT,CREATE EDIT RUN SEARCH OPEN EDIT RUN OTHER SUBMIT
django__django-12453,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.6,6.0,-1.0,0.0,0.0,5.0,-1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,OTHER OPEN EDIT NAV RUN OTHER RUN OTHER RUN OTHER RUN NAV EDIT NAV SUBMIT,OTHER OPEN NAV EDIT NAV EDIT NAV EDIT SUBMIT
django__django-13447,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.6666666666666666,8.0,-3.0,0.0,2.0,4.0,0.0,-4.0,-0.3571428571428571,2.0,0.0,8.0,3.0,0.0,2.0,4.0,0.0,4.0,0.3571428571428571,2.0,0.0,OTHER OPEN OTHER OPEN SEARCH NAV EDIT SEARCH EDIT RUN OTHER RUN OTHER RUN SUBMIT,SEARCH OPEN SEARCH NAV EDIT SUBMIT
django__django-13658,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.9423076923076923,63.0,27.0,6.0,5.0,15.0,-1.0,11.0,0.39285714285714285,3.0,3.0,63.0,27.0,6.0,5.0,15.0,1.0,11.0,0.39285714285714285,3.0,3.0,OTHER OPEN NAV SEARCH NAV EDIT RUN OTHER RUN OTHER RUN OTHER EDIT SEARCH EDIT OPEN SEARCH EDIT SEARCH EDIT RUN OPEN SEARCH EDIT RUN EDIT RUN EDIT RUN OPEN SEARCH EDIT RUN EDIT RUN EDIT RUN OTHER EDIT RUN EDIT RUN EDIT RUN OTHER OPEN EDIT OPEN EDIT RUN EDIT OTHER,SEARCH OPEN NAV EDIT SUBMIT
django__django-14238,Claude 3.5 Sonnet (SWE-agent),GPT-4 (SWE-agent),0.7,-4.0,-5.0,-1.0,0.0,1.0,-6.0,-1.0,-0.14285714285714285,0.0,0.0,4.0,5.0,1.0,0.0,1.0,6.0,1.0,0.14285714285714285,0.0,0.0,OTHER OPEN SEARCH NAV EDIT CREATE EDIT RUN OTHER RUN OTHER RUN OTHER RUN OTHER RUN OTHER RUN SUBMIT,CREATE EDIT RUN EDIT RUN EDIT RUN EDIT RUN EDIT RUN SEARCH OPEN NAV SEARCH NAV EDIT RUN OTHER SUBMIT
